year,city,country,contestant,song,event,points,place
1956,Lugano,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,Final,NA,2
1956,Lugano,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,Final,NA,2
1956,Lugano,France,Dany Dauberson,Il Est Là,Final,NA,2
1956,Lugano,France,Mathé Altéry,Le Temps Perdu,Final,NA,2
1956,Lugano,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,Final,NA,2
1956,Lugano,Germany,Freddy Quinn,So Geht Das Jede Nacht,Final,NA,2
1956,Lugano,Italy,Franca Raimondi,Aprite Le Finestre,Final,NA,2
1956,Lugano,Italy,Tonina Torielli,Amami Se Vuoi,Final,NA,2
1956,Lugano,Luxembourg,Michèle Arnaud,Les Amants De Minuit,Final,NA,2
1956,Lugano,Luxembourg,Michèle Arnaud,Ne Crois Pas,Final,NA,2
1956,Lugano,Switzerland,Lys Assia,Das Alte Karussell,Final,NA,2
1956,Lugano,The Netherlands,Jetty Paerl,De Vogels Van Holland,Final,NA,2
1956,Lugano,The Netherlands,Corry Brokken,Voorgoed Voorbij,Final,NA,2
1956,Lugano,Switzerland,Lys Assia,Refrain,Final,NA,1
1957,Frankfurt,Austria,Bob Martin,"Wohin, Kleines Pony",Final,3,10
1957,Frankfurt,Belgium,Bobbejaan Schoepen,Straatdeuntje,Final,5,8
1957,Frankfurt,Switzerland,Lys Assia,L'enfant Que J'étais,Final,5,8
1957,Frankfurt,United Kingdom,Patricia Bredin,All,Final,6,7
1957,Frankfurt,Italy,Nunzio Gallo,Corde Della Mia Chitarra,Final,7,6
1957,Frankfurt,Germany,Margot Hielscher,"Telefon, Telefon",Final,8,4
1957,Frankfurt,Luxembourg,Danièle Dupré,Tant De Peine,Final,8,4
1957,Frankfurt,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,Final,10,3
1957,Frankfurt,France,Paule Desjardins,La Belle Amour,Final,17,2
1957,Frankfurt,The Netherlands,Corry Brokken,Net Als Toen,Final,31,1
1958,Hilversum,Luxembourg,Solange Berry,Un Grand Amour,Final,1,9
1958,Hilversum,The Netherlands,Corry Brokken,Heel De Wereld,Final,1,9
1958,Hilversum,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,Final,3,8
1958,Hilversum,Germany,Margot Hielscher,Für Zwei Groschen Musik,Final,5,7
1958,Hilversum,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,Final,8,5
1958,Hilversum,Belgium,Fud Leclerc,Ma Petite Chatte,Final,8,5
1958,Hilversum,Sweden,Alice Babs,Lilla Stjärna,Final,10,4
1958,Hilversum,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,Final,13,3
1958,Hilversum,Switzerland,Lys Assia,Giorgio,Final,24,2
1958,Hilversum,France,André Claveau,Dors Mon Amour,Final,27,1
1959,Cannes,Monaco,Jacques Pills,Mon Ami Pierrot,Final,1,11
1959,Cannes,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,Final,4,9
1959,Cannes,Sweden,Brita Borg,Augustin,Final,4,9
1959,Cannes,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,Final,5,8
1959,Cannes,Belgium,Bob Benny,Hou Toch Van Mij,Final,9,6
1959,Cannes,Italy,Domenico Modugno,Piove,Final,9,6
1959,Cannes,Denmark,Birthe Wilke,Uh-jeg Ville Ønske Jeg Var Dig,Final,12,5
1959,Cannes,Switzerland,Christa Williams,Irgendwoher,Final,14,4
1959,Cannes,France,Jean Philippe,"Oui, Oui, Oui, Oui",Final,15,3
1959,Cannes,United Kingdom,Pearl Carr and Teddy Johnson,Sing Little Birdie,Final,16,2
1959,Cannes,The Netherlands,Teddy Scholten,Een Beetje,Final,21,1
1960,London,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,Final,1,13
1960,London,The Netherlands,Rudi Carrell,Wat Een Geluk,Final,2,12
1960,London,Denmark,Katy Bødtger,Det Var En Yndig Tid,Final,4,10
1960,London,Sweden,Siw Malmkvist,Alla Andra Får Varann,Final,4,10
1960,London,Italy,Renato Rascel,Romantica,Final,5,8
1960,London,Switzerland,Anita Traversi,Cielo E Terra,Final,5,8
1960,London,Austria,Harry Winter,Du Hast Mich So Fasziniert,Final,6,7
1960,London,Belgium,Fud Leclerc,Mon Amour Pour Toi,Final,9,6
1960,London,Germany,Wyn Hoop,"Bonne Nuit, Ma Chérie!",Final,11,4
1960,London,Norway,Nora Brockstedt,Voi-voi,Final,11,4
1960,London,Monaco,François Deguelt,Ce Soir-là,Final,15,3
1960,London,United Kingdom,Bryan Johnson,"Looking High, High, High",Final,25,2
