year,date,stage,venue,city,host_country,presented_by,multicamera_director,host_broadcaster,executive_supervisor,executive_producer
1956,1956-05-24,Final,Teatro Kursaal,Lugano,Switzerland,Lohengrin Filipello,Franco Marazzi,NA,Rolf Liebermann,NA
1957,1957-03-03,Final,Großer Sendesaal des Hessischen Rundfunks,Frankfurt am Main,Germany,Anaïd Iplicjian,NA,ARD,Rolf Liebermann,NA
1958,1958-03-12,Final,AVRO Studios,Hilversum,Netherlands,Hannie Lips,NA,NA,NA,NA
1959,1959-03-11,Final,Palais des Festivals,Cannes,France,Jacqueline Joubert,NA,RTF,NA,NA
1960,1960-03-29,Final,Royal Festival Hall,London,United Kingdom,Catherine (Katie) Boyle,Innes Lloyd,NA,NA,NA
1961,1961-03-18,Final,Palais des Festivals,Cannes,France,Jacqueline Joubert,Marcelle Cravanne,RTF,NA,NA
1962,1962-03-18,Final,"Grand Auditorium de RTL, Villa Louvigny",Luxembourg,Luxembourg,Mireille Delannoy,"Jos Pauly, René Steichen",RTL,NA,NA
1963,1963-03-23,Final,BBC Television Centre,London,United Kingdom,Catherine (Katie) Boyle,Yvonne Littlewood,NA,NA,NA
1964,1964-03-21,Final,Tivolis Koncertsal,Copenhagen,Denmark,Lotte Waever,Poul Leth Sørensen,NA,Miroslav Vilcek,NA
1965,1965-03-20,Final,Sala di Concerto della RAI,Naples,Italy,Renata Mauro,Romolo Siena,NA,Miroslav Vilcek,NA
1966,1966-03-05,Final,"Grand Auditorium de RTL, Villa Louvigny",Luxembourg,Luxembourg,Josiane Shen,NA,CLT,Clifford Brown,NA
1967,1967-04-08,Final,Großer Festsaal der Wiener Hofburg,Vienna,Austria,Erika Vaal,Herbert Fuchs,NA,Clifford Brown,NA
1968,1968-04-06,Final,Royal Albert Hall,London,United Kingdom,Catherine (Katie) Boyle,Stewart Morris,NA,Clifford Brown,Tom Sloan
1969,1969-03-29,Final,Teatro Real,Madrid,Spain,Laurita Valenzuela,Ramon Diaz,NA,Clifford Brown,NA
1970,1970-03-21,Final,RAI Congrescentrum,Amsterdam,Netherlands,Willy Dobbe,Theo Ordeman,NA,Clifford Brown,Warner van Kampen
1971,1971-04-03,Final,Gaiety Theatre,Dublin,Ireland,Bernadette Ní Ghallchoir,NA,NA,Clifford Brown,NA
1972,1972-03-25,Final,Usher Hall,Edinburgh,United Kingdom,Moira Shearer,Terry Hughes,NA,Clifford Brown,Bill Cotton
1973,1973-04-07,Final,Nouveau Théâtre,Luxembourg,Luxembourg,Helga Guitton,NA,CLT,Clifford Brown,NA
1974,1974-04-06,Final,The Dome,Brighton,United Kingdom,Catherine (Katie) Boyle,Michael Hurll,NA,Clifford Brown,Bill Cotton
1975,1975-03-22,Final,St. Eriks Mässan Alvsjö,Stockholm,Sweden,Karin Falck,NA,SR,Frank Naef,NA
1976,1976-04-03,Final,Nederlands Congresgebouw,The Hague,Netherlands,Corry Brokken,NA,NA,Frank Naef,NA
1977,1977-05-07,Final,Wembley Conference Centre,London,United Kingdom,Angela Rippon,NA,NA,Frank Naef,NA
