year,events_urls,country,contestant,song,composed_by,written_by,language,lyrics
2020,https://eurovision.tv/event/rotterdam-2020,Albania,Arilena Ara,Fall From The Sky,"Darko Dimitrov, Lazar Cvetkoski","Michael Blue, Robert Stevenson, Sam Schummer",English,"Words have cut me to the bone
And my heart is sinking like a stone
But I don’t let it show
Barely take another breath
Though I’m suffocating here alone
I’ll never let you know
Fall from the sky
Always making me hold back my wings
When I’m destined to fly
I’m screaming inside
You can crush and break down my walls
But my heart will survive
You have made me doubt my faith
Hide the truth behind another lie
But you won’t see me cry
I pray for you for all you’ve done
All the hurt that you leave in your wake It’s so hard not to break
You think I’m better without
A way to speak my mind
You think I don’t wanna shout
And that I’m terrified
Screaming inside
With nowhere to hide
You won’t let me flyyyyyyy..
Fall from the sky
As you hold back my wings
When I’m destined to fly
I’m screaming inside
Fall...
Fall from the sky
Break down my walls
But I’m destined to fly"
2020,https://eurovision.tv/event/rotterdam-2020,Armenia,Athena Manoukian,Chains On You,"Athena Manoukian, DJ Paco",Athena Manoukian,English,"I got it, you wanna take me to the party,
Cause you’re naughty,
Well, let me tell you one kind of story.
Yeah I start it, I make it, I ride it, I work it
Don’t like it, I’m gonna say no.
I ain’t no lying, I’m trying, I’m flying, no buying
And I know I’m gonna make it to the top.
Keeping my diamonds on you,
I’m keeping my diamonds on you,
Keeping my diamonds on you,
I got angels by my side
And this is what I say to you.
Diamonds shinin' on me,
My diamonds shinin’ on me,
Diamonds shinin' on me,
You said I don’t really care
Can’t you see I’m right here.
Boy, don’t deny my lips on fire,
They’re screaming boy,
Let me breathe, you’re all I need,
And I say boy
Call my name, we’re burning flame I want you boy
I am yours, only yours and of course
Hurt me.
Chains on chains on you,
Imma put them boy
Chains on chains on you.
Chains on chains on you,
Imma put them boy
Chains on chains on you,
I was staring at you while sitting next to you, I think I got a juice, I started thinking how my name would sound to you. So you were walking towards me and I knew I should believe, I would be the one that’ll really make you feel like a boss.
I start it, I make it, I ride it, I work it,
Don’t like it, I’m gonna say no.
I ain’t no lying, I’m trying, I’m flying, no buying
And I know I’m gonna make it to the top.
Keeping my diamonds on you,
I’m keeping my diamonds on you,
Keeping my diamonds on you,
I got angels by my side
This is what I say to you.
Diamonds shinin' on me,
My diamonds shinin' on me.
Diamonds shinin' on me
You said I don’t really care
Can’t you see I’m right here.
Boy, don’t deny my lips on fire
They’re screaming boy,
Let me breathe, you’re all I need,
And I say boy,
Call my name, we’re burning flame I want you boy,
I'm yours, only yours and of course,
Hurt me.
Hurt me.
I am yours, only yours and of course,
Hurt me.
Chains on chains on you
Imma put them boy
Chains on chains on you.
Chains on chains on you
Imma put them boy
Chains on chains on you.
Diamonds shinin' on me,
My diamonds shinin' on me.
Diamonds shinin' on me,
You said I don’t really care
Can’t you see I’m right here."
2020,https://eurovision.tv/event/rotterdam-2020,Australia,Montaigne,Don't Break Me,"Montaigne, Anthony Egizii, David Musumeci","Montaigne, Anthony Egizii, David Musumeci",English,"I don't feel the same buzz
When your name comes up on my phone
Anymore
Feels like I don't feel you
I fear you
And it makes me cry on my floor
It feels like you're taking me for granted
I've given you everything I have, yeah
And I can barely bring to mind
The reason why I've stretched myself so far for
You
But oh ho ho, I can't take it anymore
Don't break me
Don't break me down, down, down, down
Don't break me
Are you hearing me now, now, now, now?
You thought I was elastic
But maybe I'm just made of glass
Don't break me
Don't break me down
Isn't love a compromise
Two people trying to keep the fire burning?
You've been busy playing round and starting fights
While I've been busy earning
Every time that I try to explain it
You think that your pain is more important
And the hardest thing is that I don't wanna give you up
I love you, I love you, I love you
But oh, ho, ho, I can't take it anymore
Don't break me
Don't break me down, down, down, down
Don't break me
Are you hearing me now, now, now, now?
You thought I was elastic
But maybe I'm just made of glass
Don't break me
Don't break me down
I lie awake while you're asleep
I listen to the sound
Of all the words I couldn't say 'til now
Don't break me
Don't break me down, down, down, down
Don't break me
Are you hearing me now, now, now?
You thought I was elastic
But maybe I'm just made of glass
Don't break me
Don't break me down
Don't break me"
2020,https://eurovision.tv/event/rotterdam-2020,Austria,Vincent Bueno,Alive,"Vincent Bueno, David ""Davey"" Yang, Felix van Göns, Artur Aigner",Vincent Bueno,English,"Shackled bones, around all these thrones come screaming.
Behind a wall of ego, there is a hidden hero in us, in us,
in all of us.
You make me feel like
Oh oh oh
You make me, you make me feel like, yeah
Oh oh oh
You make me feel like
Oooh
You make me feel alive
You make me feel like I'm alive again, alive again
Only you can make me feel alive again, alive again.
I'm like a little matchbox.
All I need is a little spark.
To light this whole world up, prepare for fire shots.
Only you can make me feel alive again, alive again.
Sticks and stones, might break all I own
come beatin', beatin', beatin'.
Behind a wall of ego, there is a hidden hero in us.
Oh oh oh
You make me feel like …
You make me feel like I'm alive again, alive again
Only you can make me feel alive again, alive again.
I'm like a little matchbox. All I need is a little spark.
To light this whole world up, prepare for fire shots.
Only you can make me feel alive again, alive again.
You make me feel like I'm alive again, alive again
Only you can make me feel alive again, alive again.
It's overthrown
And I am on my own alive again."
2020,https://eurovision.tv/event/rotterdam-2020,Azerbaijan,Efendi,Cleopatra,"Luuk van Beers, Alan Roy Scott, Sarah Lake","Luuk van Beers, Alan Roy Scott, Sarah Lake",English,"Cleopatra was a queen like me,
Just like me,
Yeah just like me,
Straight or gay or in between,
In between,
Yeah in between,
Betrayed by,
A lover,
So hard to,
Recover,
Couldn't see the forest for the trees,
Just like me,
Oh, in too deep
There was no intervention,
I was lost, falling out with myself,
I was so filled with tension,
Getting mad was my cry for help,
Now I'm back with a vengeance,
I've found my inner voice again,
And it speaks to my soul loud and clear,
And it sounds like this,
Nam-myoho-renge-kyo,
Nam-myoho-renge-kyo,
Like Cleopatra,
La la la la
La la la la
La la la la la
Like Cleopatra
La la la la
La la la la
La la la la la
Like Cleopatra
Cleopatra had Mark Antony,
You know who I mean,
Not the Latin king,
The one from Rome who lived long ago,
After Caesar died,
Cleo's gigolo,
Part Goddess,
Part temptress,
The way he left her,
It was shameless,
She was her own worst enemy,
Just like me,
Yeah just like me but,
Now I'm back with a vengeance,
I've found my inner voice again,
And it speaks to my soul loud and clear,
And it sounds like this,
Nam-myoho-renge-kyo,
Nam-myoho-renge-kyo,
Like Cleopatra,
La la la la
La la la la
La la la la la
Like Cleopatra
La la la la
La la la la
La la la la la
Like Cleopatra
I can feel,
Her spirit run through me,
I can see it in my mind like a movie,
Egyptian and Latin, the voices run through me,
Come to me,
La la la la
La la la la
La la la la la
Like Cleopatra
La la la la
La la la la
La la la la la
Like Cleopatra
La la la la
La la la la
La la la la la
Like Cleopatra
La la la la
La la la la
La la la la la
Like Cleopatra"
2020,https://eurovision.tv/event/rotterdam-2020,Belarus,VAL,Da Vidna,"Vladislav Pashkevich, Valeria Gribusova",Mikita Naidzenau,Belarusian,"Заплятала восень ясну косамі ды распляла.
Заплутала, як зіма замятае сцежкі познія сабой дабяла.
Запытала, ой нашто мне той, каго не выбірала?
Ой, заблытала да відна ночка цёмна таямніцамі і жарсцю паўна.
Да відна, да відна засталася не адна.
Да відна, да відна востры месяц нас яднаў.
Да відна, да відна востры месяц нас яднаў.
Да відна, да відна засталася не адна.
Не мая віна, засталася не адна...
Ой, як мала маладзенькая ў дзеўках ды пабыла.
Ой, як рана, ой рана, ружа белая, каму ты так квітнець пачала?
Ой, ты мама, ой нашто мне той, каго не выбірала?
Ой, заблытала да відна ночка цёмна таямніцамі і жарсцю паўна.
Да відна, да відна засталася не адна.
Да відна, да відна востры месяц нас яднаў.
Да відна, да відна востры месяц нас яднаў.
Да відна, да відна засталася не адна.
Не мая віна, засталася не адна.
Засталася не адна..."
2020,https://eurovision.tv/event/rotterdam-2020,Belarus,VAL,Da Vidna,"Vladislav Pashkevich, Valeria Gribusova",Mikita Naidzenau,Belarusian (transliterated),"Zaplyatala vosen yasnu kosami dy rasplyala
Zaplutala, yak zima zamyatae stsežki pozniya saboy dabyala
Zapytala, oy našto mne toy, kaho ne vybirala
Oy, zablytala da vidna, nočka tsyomna tayamnitsami i žarstsyu pauna
Da vidna, da vidna zastalasya ne adna
Da vidna, da vidna vostry mesyats nas yadnau
Da vidna, da vidna vostry mesyats nas yadnau
Da vidna, da vidna zastalasya ne adna
Ne maya vina, zastalasya ne adna
Oy, yak mala maladženkaya u džeukah dy pabyla
Oy, yak rana, oy rana, ruža belaya, kamu ty tak kvitnets pačala?
Oy, ty mamo, oy našto mne toy, kaho ne vybirala
Oy, zablytala da vidna nočka tsyomna tayamnitsami i žarstsyu pauna
Da vidna, da vidna zastalasya ne adna
Da vidna, da vidna vostry mesyats nas yadnau
Da vidna, da vidna vostry mesyats nas yadnau
Da vidna, da vidna zastalasya ne adna
Ne maya vina, zastalasya ne adna
Zastalasya ne adna"
2020,https://eurovision.tv/event/rotterdam-2020,Belarus,VAL,Da Vidna,"Vladislav Pashkevich, Valeria Gribusova",Mikita Naidzenau,English (translated),"I braided the autumn and then untwisted it.
I got lost, just like winter covers the late paths with snow.
I asked myself: do I need the one that I had not chosen?
Oh, I was confused until dawn, in the dark night full of secrets and passion...
Until dawn, until dawn I didn't stay alone.
Until dawn, until dawn the clear moon united us.
Until dawn, until dawn the clear moon united us.
Until dawn, until dawn I didn't stay alone...
I wasn't the one to blame for staying not alone.
Oh, my youth just passed me by.
Oh how early, oh so early, my white rose, to whom did you bloom?
Oh mom, do I need the one that I had not chosen?
Oh, I was confused until dawn, in the dark night full of secrets and passion...
Until dawn, until dawn I didn't stay alone.
Until dawn, until dawn the clear moon united us.
Until dawn, until dawn the clear moon united us.
Until dawn, until dawn I didn't stay alone.
I wasn't the one to blame for staying not alone.
I didn't stay alone..."
2020,https://eurovision.tv/event/rotterdam-2020,Belgium,Hooverphonic,Release Me,"Alex Callier, Luca Chiaravalli",Alex Callier,English,"Release me
Don't talk go away
Release me
It's not right to make me stay
All the lies and all the pain
Only you can make them go away
Release me from this sad and losing game
Release me
Don't say what I already know
Release me
only trouble steals the show
All those words won't comfort me
It's clear we're not meant to be
Release me from this sad and losing game
You're all I want
A dangerous need
it s wrong to keep you close to me
If you dare
If you care
Then cut the ropes and float away
Yes release me
If you love me, let me go
Release me
Don't talk go away
Release me
It's not right to make me stay
All the lies and all the pain
Only you can make them go away
Release me from this sad and losing game
You're all I want
A dangerous need
it s wrong to keep you close to me
If you dare
If you care
Then cut the ropes and float away
Yes release me
If you love me, let me go
All the lies and all the pain
Only you can make them go away
All those words won't comfort me
It's clear we're not meant to be
Release me from this sad and losing game"
2020,https://eurovision.tv/event/rotterdam-2020,Bulgaria,VICTORIA,Tears Getting Sober,"Victoria Georgieva, Borislav Milanov, Lukas Oskar Janisch, Cornelia Wiebols","Victoria Georgieva, Borislav Milanov, Lukas Oscar Janisch",English,"Great, feel my head is taking over me
10 déjà vus a day
and each time I'm getting colder,
pain, I should let it go
Your lies burn like sugar in my wounds
In time my wound will be a scar
Strained but my tears are getting sober now
and I've been here before so,
weight that I'm holding on my shoulders,
I'm gonna let it go
This is my first time trying
Look how the tables turn
I've got this dirt inside me
I've got some space to grow
Your lies burn like sugar in my wounds
So I have sweet bruises
In time I'll forget what you have done
In time my wound will be a scar
My pain will soon be over
Oh, how the tables turn
Tears are getting sober
I got some space to grow
Your lies burn like sugar in my wounds
So I have sweet bruises
In time I'll forget what you have done
In time my wound will be a scar"
