year,events_urls,stage,r_o,country,contestant,song,points,place,qualified
2020,https://eurovision.tv/event/rotterdam-2020,Final,23,The Netherlands,Jeangu Macrooy,Grow,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,Final,NA,France,Tom Leeb,Mon Alliée (The Best In Me),NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,Final,NA,Germany,Ben Dolic,Violent Thing,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,Final,NA,Italy,Diodato,Fai Rumore,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,Final,NA,Spain,Blas Cantó,Universo,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,Final,NA,United Kingdom,James Newman,My Last Breath,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,1,Sweden,The Mamas,Move,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,2,Belarus,VAL,Da Vidna,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,3,Australia,Montaigne,Don't Break Me,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,4,North Macedonia,Vasil,YOU,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,5,Slovenia,Ana Soklič,Voda,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,6,Lithuania,The Roop,On Fire,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,7,Ireland,Lesley Roy,Story Of My Life,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,8,Russia,Little Big,Uno,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,9,Belgium,Hooverphonic,Release Me,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,10,Malta,Destiny,All Of My Love,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,11,Croatia,Damir Kedžo,Divlji Vjetre,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,12,Azerbaijan,Efendi,Cleopatra,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,13,Cyprus,Sandro,Running,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,14,Norway,Ulrikke,Attention,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,15,Israel,Eden Alene,Feker Libi,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,16,Romania,ROXEN,Alcohol You,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF1,17,Ukraine,Go_A,Solovey,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,1,Greece,Stefania,SUPERG!RL,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,2,Estonia,Uku Suviste,What Love Is,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,3,Austria,Vincent Bueno,Alive,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,4,Moldova,Natalia Gordienko,Prison,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,5,San Marino,Senhit,Freaky!,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,6,Czech Republic,Benny Cristo,Kemama,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,7,Serbia,Hurricane,Hasta La Vista,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,8,Poland,Alicja,Empires,NA,NA,NA
2020,https://eurovision.tv/event/rotterdam-2020,SF2,9,Iceland,Daði og Gagnamagnið,Think About Things,NA,NA,NA
