year,events_urls,round,from,by,to,points
1957,https://eurovision.tv/event/frankfurt-1957,Final,Austria,NA,The Netherlands,6
1957,https://eurovision.tv/event/frankfurt-1957,Final,Austria,NA,Luxembourg,3
1957,https://eurovision.tv/event/frankfurt-1957,Final,Austria,NA,United Kingdom,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Belgium,NA,The Netherlands,5
1957,https://eurovision.tv/event/frankfurt-1957,Final,Belgium,NA,France,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Belgium,NA,Germany,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Belgium,NA,Italy,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Belgium,NA,United Kingdom,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Denmark,NA,The Netherlands,3
1957,https://eurovision.tv/event/frankfurt-1957,Final,Denmark,NA,Switzerland,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Denmark,NA,France,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Denmark,NA,Belgium,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Denmark,NA,Italy,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,France,NA,Germany,6
1957,https://eurovision.tv/event/frankfurt-1957,Final,France,NA,The Netherlands,4
1957,https://eurovision.tv/event/frankfurt-1957,Final,Germany,NA,France,6
1957,https://eurovision.tv/event/frankfurt-1957,Final,Germany,NA,Belgium,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Germany,NA,Switzerland,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Germany,NA,The Netherlands,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Italy,NA,Luxembourg,4
1957,https://eurovision.tv/event/frankfurt-1957,Final,Italy,NA,Denmark,3
1957,https://eurovision.tv/event/frankfurt-1957,Final,Italy,NA,Switzerland,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Italy,NA,Germany,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Italy,NA,The Netherlands,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Luxembourg,NA,France,4
1957,https://eurovision.tv/event/frankfurt-1957,Final,Luxembourg,NA,The Netherlands,3
1957,https://eurovision.tv/event/frankfurt-1957,Final,Luxembourg,NA,Switzerland,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Luxembourg,NA,Italy,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Luxembourg,NA,United Kingdom,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,Switzerland,NA,The Netherlands,7
1957,https://eurovision.tv/event/frankfurt-1957,Final,Switzerland,NA,United Kingdom,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,Switzerland,NA,Belgium,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,The Netherlands,NA,Denmark,5
1957,https://eurovision.tv/event/frankfurt-1957,Final,The Netherlands,NA,Italy,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,The Netherlands,NA,France,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,The Netherlands,NA,Austria,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,The Netherlands,NA,United Kingdom,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,Denmark,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,France,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,Austria,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,Italy,2
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,The Netherlands,1
1957,https://eurovision.tv/event/frankfurt-1957,Final,United Kingdom,NA,Luxembourg,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Austria,NA,France,7
1958,https://eurovision.tv/event/hilversum-1958,Final,Austria,NA,Sweden,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Austria,NA,Italy,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Austria,NA,Germany,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,Italy,4
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,Switzerland,2
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,Sweden,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,France,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,Germany,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Belgium,NA,Austria,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Denmark,NA,France,9
1958,https://eurovision.tv/event/hilversum-1958,Final,Denmark,NA,Belgium,1
1958,https://eurovision.tv/event/hilversum-1958,Final,France,NA,Austria,3
1958,https://eurovision.tv/event/hilversum-1958,Final,France,NA,Switzerland,3
1958,https://eurovision.tv/event/hilversum-1958,Final,France,NA,Germany,2
1958,https://eurovision.tv/event/hilversum-1958,Final,France,NA,Denmark,1
1958,https://eurovision.tv/event/hilversum-1958,Final,France,NA,Italy,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Germany,NA,Belgium,5
1958,https://eurovision.tv/event/hilversum-1958,Final,Germany,NA,Italy,4
1958,https://eurovision.tv/event/hilversum-1958,Final,Germany,NA,France,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Italy,NA,France,6
1958,https://eurovision.tv/event/hilversum-1958,Final,Italy,NA,Switzerland,4
1958,https://eurovision.tv/event/hilversum-1958,Final,Luxembourg,NA,Switzerland,5
1958,https://eurovision.tv/event/hilversum-1958,Final,Luxembourg,NA,Sweden,3
1958,https://eurovision.tv/event/hilversum-1958,Final,Luxembourg,NA,France,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Luxembourg,NA,Austria,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Switzerland,4
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Denmark,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,France,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Belgium,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Germany,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Austria,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Sweden,NA,Italy,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,Sweden,3
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,Austria,2
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,Belgium,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,The Netherlands,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,Italy,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,France,1
1958,https://eurovision.tv/event/hilversum-1958,Final,Switzerland,NA,Luxembourg,1
1958,https://eurovision.tv/event/hilversum-1958,Final,The Netherlands,NA,Switzerland,6
1958,https://eurovision.tv/event/hilversum-1958,Final,The Netherlands,NA,Sweden,2
1958,https://eurovision.tv/event/hilversum-1958,Final,The Netherlands,NA,Denmark,1
1958,https://eurovision.tv/event/hilversum-1958,Final,The Netherlands,NA,Italy,1
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,The Netherlands,3
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,United Kingdom,2
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,Denmark,2
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,Switzerland,1
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,Monaco,1
1959,https://eurovision.tv/event/cannes-1959,Final,Austria,NA,France,1
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,The Netherlands,3
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,United Kingdom,2
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,France,2
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,Switzerland,1
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,Germany,1
1959,https://eurovision.tv/event/cannes-1959,Final,Belgium,NA,Italy,1
1959,https://eurovision.tv/event/cannes-1959,Final,Denmark,NA,France,4
1959,https://eurovision.tv/event/cannes-1959,Final,Denmark,NA,Belgium,2
1959,https://eurovision.tv/event/cannes-1959,Final,Denmark,NA,Switzerland,2
1959,https://eurovision.tv/event/cannes-1959,Final,Denmark,NA,United Kingdom,1
1959,https://eurovision.tv/event/cannes-1959,Final,Denmark,NA,Sweden,1
1959,https://eurovision.tv/event/cannes-1959,Final,France,NA,The Netherlands,4
1959,https://eurovision.tv/event/cannes-1959,Final,France,NA,Italy,3
1959,https://eurovision.tv/event/cannes-1959,Final,France,NA,Germany,2
1959,https://eurovision.tv/event/cannes-1959,Final,France,NA,United Kingdom,1
1959,https://eurovision.tv/event/cannes-1959,Final,Germany,NA,France,4
1959,https://eurovision.tv/event/cannes-1959,Final,Germany,NA,Belgium,3
1959,https://eurovision.tv/event/cannes-1959,Final,Germany,NA,The Netherlands,2
1959,https://eurovision.tv/event/cannes-1959,Final,Germany,NA,Switzerland,1
1959,https://eurovision.tv/event/cannes-1959,Final,Italy,NA,The Netherlands,7
1959,https://eurovision.tv/event/cannes-1959,Final,Italy,NA,Germany,1
1959,https://eurovision.tv/event/cannes-1959,Final,Italy,NA,France,1
1959,https://eurovision.tv/event/cannes-1959,Final,Italy,NA,Denmark,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,United Kingdom,2
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,France,2
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,Switzerland,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,The Netherlands,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,Denmark,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,Belgium,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,Italy,1
1959,https://eurovision.tv/event/cannes-1959,Final,Monaco,NA,Austria,1
1959,https://eurovision.tv/event/cannes-1959,Final,Sweden,NA,Denmark,4
1959,https://eurovision.tv/event/cannes-1959,Final,Sweden,NA,Switzerland,3
1959,https://eurovision.tv/event/cannes-1959,Final,Sweden,NA,Austria,2
1959,https://eurovision.tv/event/cannes-1959,Final,Sweden,NA,Italy,1
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,United Kingdom,3
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,Italy,3
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,Austria,1
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,Germany,1
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,France,1
1959,https://eurovision.tv/event/cannes-1959,Final,Switzerland,NA,Denmark,1
